,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Steven Adams\adamsst01,C,26,OKC,49,1322,20.1,0.597,0.008,0.396,14.1,23.6,19.0,14.3,1.3,3.6,14.6,17.1,,3.0,2.0,5.0,0.182,,1.0,3.3,4.3,2.1
1,2,Bam Adebayo\adebaba01,PF,22,MIA,54,1865,20.7,0.613,0.019,0.473,8.8,24.2,16.8,22.5,1.8,3.4,17.2,19.9,,4.1,3.0,7.1,0.183,,1.1,4.0,5.1,3.3
2,3,LaMarcus Aldridge\aldrila01,C,34,SAS,50,1661,20.3,0.58,0.195,0.245,6.4,18.1,12.2,11.3,0.9,4.3,7.9,23.3,,3.3,1.3,4.6,0.133,,1.4,0.4,1.8,1.6
3,4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,501,7.7,0.441,0.515,0.12300000000000001,1.7,15.3,8.4,20.5,1.0,1.2,14.3,22.9,,-0.7,0.3,-0.4,-0.038,,-4.0,-2.1,-6.1,-0.5
4,5,Grayson Allen\allengr01,SG,24,MEM,30,498,11.4,0.5770000000000001,0.517,0.19899999999999998,1.1,12.7,7.0,11.7,0.6,0.2,10.7,18.0,,0.5,0.2,0.7,0.065,,-0.8,-2.6,-3.4,-0.2
5,6,Jarrett Allen\allenja01,C,21,BRK,53,1410,20.6,0.6559999999999999,0.013999999999999999,0.569,12.3,24.7,18.7,7.9,1.1,4.5,11.7,15.0,,3.8,2.5,6.3,0.213,,0.2,3.3,3.5,2.0
6,7,Kadeem Allen\allenka01,SG,27,NYK,10,117,14.1,0.512,0.364,0.25,1.7,6.6,4.1,27.4,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,0.055,,-1.4,-2.5,-3.9,-0.1
7,8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,380,7.7,0.395,0.419,0.337,6.5,18.4,12.2,7.6,2.3,1.9,14.7,13.3,,-0.4,0.6,0.2,0.02,,-5.1,2.1,-3.0,-0.1
8,9,Justin Anderson\anderju01,SF,26,BRK,3,17,-3.8,0.218,0.5,0.33299999999999996,0.0,11.8,6.0,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.16699999999999998,,-12.7,-2.6,-15.3,-0.1
9,10,Kyle Anderson\anderky01,PF,26,MEM,48,868,13.2,0.539,0.192,0.254,5.6,18.4,12.1,15.4,1.9,2.4,14.8,13.4,,0.7,1.0,1.7,0.096,,-1.8,2.2,0.4,0.5
10,11,Ryan Anderson\anderry01,PF,31,HOU,2,14,9.6,0.35700000000000004,0.7140000000000001,0.0,0.0,52.5,26.1,20.1,3.3,0.0,12.5,23.5,,0.0,0.0,0.0,-0.031,,-7.3,1.8,-5.5,0.0
11,12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,48,1482,32.2,0.608,0.242,0.519,8.4,32.9,21.4,34.0,1.6,3.0,13.0,37.7,,5.0,3.9,8.9,0.289,,7.0,5.1,12.0,5.3
12,13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,5,8.6,,,,0.0,21.4,11.0,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.132,,-4.8,1.0,-3.8,0.0
13,14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,15,61,13.7,0.556,0.13,0.391,10.3,1.5,5.6,14.1,1.5,1.4,15.6,21.6,,0.0,0.1,0.1,0.10800000000000001,,-1.8,-1.2,-3.0,0.0
14,15,Carmelo Anthony\anthoca01,PF,35,POR,40,1299,11.7,0.5,0.282,0.187,4.2,16.6,10.5,6.7,1.2,1.2,10.4,21.9,,-0.3,0.8,0.5,0.018000000000000002,,-2.6,-1.3,-3.9,-0.6
15,16,OG Anunoby\anunoog01,SF,22,TOR,54,1574,12.6,0.586,0.413,0.147,4.1,15.1,9.7,7.5,1.9,2.2,12.1,14.6,,1.3,2.6,3.8,0.11699999999999999,,-0.7,2.2,1.5,1.4
16,17,Ryan Arcidiacono\arcidry01,PG,25,CHI,51,765,9.0,0.556,0.628,0.156,2.2,10.7,6.3,14.5,1.3,0.4,13.5,12.4,,0.6,0.6,1.2,0.073,,-1.8,-1.1,-2.9,-0.2
17,18,Trevor Ariza\arizatr01,SF,34,TOT,43,1138,10.7,0.573,0.65,0.171,2.7,16.6,9.5,8.1,2.3,0.9,12.3,11.4,,0.9,1.1,2.0,0.083,,-0.6,1.1,0.4,0.7
18,18,Trevor Ariza\arizatr01,SF,34,SAC,32,791,9.5,0.5429999999999999,0.7390000000000001,0.16399999999999998,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,,0.3,0.8,1.1,0.069,,-1.3,1.1,-0.2,0.4
19,18,Trevor Ariza\arizatr01,SF,34,POR,11,347,13.5,0.634,0.469,0.185,2.1,12.6,7.4,7.3,2.6,1.0,9.3,11.8,,0.6,0.3,0.8,0.11599999999999999,,0.9,0.9,1.8,0.3
20,19,D.J. Augustin\augusdj01,PG,32,ORL,39,1013,14.4,0.544,0.41700000000000004,0.39899999999999997,1.5,8.7,5.0,27.2,1.3,0.1,12.4,18.8,,1.5,0.8,2.3,0.10800000000000001,,0.0,-2.1,-2.2,0.0
21,20,Deandre Ayton\aytonde01,C,21,PHO,23,760,21.0,0.563,0.006,0.156,13.0,27.4,20.0,11.1,1.1,4.2,10.3,23.9,,1.1,1.0,2.1,0.134,,-0.7,1.9,1.2,0.6
22,21,Dwayne Bacon\bacondw01,SG,24,CHO,39,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.6,1.7,0.3,12.2,19.4,,-1.2,0.4,-0.8,-0.054000000000000006,,-6.2,-1.5,-7.7,-1.0
23,22,Marvin Bagley\baglema01,PF,20,SAC,13,334,15.9,0.512,0.132,0.18600000000000003,9.5,23.7,16.4,5.0,0.9,3.4,9.1,25.9,,0.0,0.3,0.4,0.055,,-4.0,-1.6,-5.7,-0.3
24,23,Lonzo Ball\balllo01,PG,22,NOP,47,1503,12.9,0.512,0.579,0.10099999999999999,3.7,16.4,10.0,28.7,1.9,1.3,20.3,18.7,,0.3,1.3,1.6,0.052000000000000005,,0.0,0.7,0.7,1.0
25,24,Mo Bamba\bambamo01,C,21,ORL,50,747,16.8,0.544,0.363,0.135,10.3,25.8,17.7,6.8,1.3,8.7,13.4,16.9,,0.4,1.5,2.0,0.126,,-2.9,4.2,1.3,0.6
26,25,J.J. Barea\bareajo01,PG,35,DAL,17,263,19.4,0.57,0.391,0.109,3.2,10.2,6.8,37.5,0.6,0.3,13.5,25.3,,0.7,0.1,0.8,0.14800000000000002,,2.8,-3.6,-0.8,0.1
27,26,Harrison Barnes\barneha02,PF,27,SAC,54,1870,13.1,0.565,0.327,0.353,3.0,13.2,8.0,9.4,0.8,0.4,8.6,17.7,,2.4,0.9,3.3,0.085,,-0.4,-1.1,-1.5,0.2
28,27,RJ Barrett\barrerj01,SG,19,NYK,45,1372,10.1,0.466,0.265,0.35600000000000004,3.3,14.7,8.8,12.1,1.6,1.1,12.5,23.2,,-1.5,0.9,-0.5,-0.019,,-3.6,-0.7,-4.3,-0.8
29,28,Will Barton\bartowi01,SF,29,DEN,48,1598,16.0,0.5429999999999999,0.369,0.183,4.9,16.6,10.7,16.3,1.6,1.4,9.1,19.9,,2.2,1.9,4.1,0.12300000000000001,,1.1,0.7,1.8,1.5
30,29,Keita Bates-Diop\bateske01,SF,24,TOT,39,665,12.7,0.541,0.452,0.332,3.2,14.8,8.8,6.6,1.2,2.6,5.5,15.7,,0.7,0.5,1.2,0.087,,-1.9,-0.5,-2.3,-0.1
31,29,Keita Bates-Diop\bateske01,SF,24,MIN,37,646,12.6,0.535,0.456,0.316,3.3,14.9,8.9,6.8,1.2,2.6,5.6,15.9,,0.6,0.5,1.1,0.083,,-1.9,-0.4,-2.3,0.0
32,29,Keita Bates-Diop\bateske01,SF,24,DEN,2,19,15.9,0.9309999999999999,0.0,2.0,0.0,11.7,5.8,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,0.222,,-1.0,-1.4,-2.4,0.0
33,30,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,0.46299999999999997,0.605,0.12300000000000001,5.2,16.8,10.8,18.2,1.7,1.5,20.5,9.3,,0.2,0.4,0.6,0.053,,-2.7,1.3,-1.4,0.1
34,31,Aron Baynes\baynear01,C,33,PHO,33,756,15.2,0.5820000000000001,0.423,0.205,7.7,20.3,13.9,12.6,0.4,2.2,10.7,20.5,,1.1,0.6,1.7,0.11,,0.7,-0.6,0.1,0.4
35,32,Kent Bazemore\bazemke01,SF-SG,30,TOT,54,1333,8.2,0.479,0.493,0.252,1.7,15.3,8.5,7.2,2.0,2.2,13.7,16.8,,-1.1,1.1,0.1,0.003,,-3.3,0.5,-2.8,-0.3
36,32,Kent Bazemore\bazemke01,SF,30,POR,43,1111,7.6,0.475,0.525,0.221,1.2,14.5,7.9,7.2,1.9,2.3,14.4,15.9,,-1.0,0.9,-0.1,-0.004,,-3.2,0.7,-2.5,-0.1
37,32,Kent Bazemore\bazemke01,SG,30,SAC,11,222,11.1,0.491,0.366,0.37799999999999995,3.9,19.4,11.4,7.2,2.4,1.7,11.1,21.1,,-0.1,0.3,0.2,0.036000000000000004,,-3.8,-0.3,-4.1,-0.1
38,33,Darius Bazley\bazleda01,PF,19,OKC,53,909,8.2,0.475,0.435,0.204,2.6,20.6,11.9,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,0.021,,-5.1,1.2,-3.9,-0.4
39,34,Bradley Beal\bealbr01,SG,26,WAS,46,1635,22.6,0.573,0.359,0.358,2.9,10.8,6.7,29.0,1.4,0.9,11.2,33.5,,3.7,0.2,3.9,0.11599999999999999,,5.0,-3.0,1.9,1.6
40,35,Malik Beasley\beaslma01,SG,23,TOT,44,844,11.2,0.52,0.5429999999999999,0.12,1.6,11.0,6.3,10.0,1.9,0.6,10.3,21.3,,0.0,0.8,0.8,0.045,,-1.4,-1.7,-3.1,-0.2
41,35,Malik Beasley\beaslma01,SG,23,DEN,41,746,10.5,0.511,0.535,0.126,1.3,10.1,5.7,9.2,2.1,0.7,10.2,20.5,,-0.1,0.8,0.6,0.042,,-1.8,-1.5,-3.3,-0.3
42,35,Malik Beasley\beaslma01,SG,23,MIN,3,98,16.6,0.5670000000000001,0.589,0.08900000000000001,4.1,17.7,10.7,15.9,1.0,0.0,10.7,27.4,,0.1,0.1,0.1,0.07,,1.8,-3.3,-1.5,0.0
43,36,Marco Belinelli\belinma01,SG,33,SAS,47,710,9.1,0.496,0.5539999999999999,0.171,0.5,11.0,5.7,11.6,0.6,0.0,5.1,16.6,,0.2,0.1,0.3,0.022000000000000002,,-1.4,-3.5,-4.9,-0.5
44,37,Jordan Bell\belljo01,C,25,MIN,27,235,14.2,0.57,0.15,0.483,12.1,23.1,17.4,8.7,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,0.077,,-3.5,0.4,-3.1,-0.1
45,38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,9.6,0.5,0.285,0.21100000000000002,4.0,14.0,9.0,12.4,2.8,1.7,19.4,14.0,,-0.5,0.8,0.2,0.012,,-3.6,1.3,-2.2,-0.1
46,39,Dragan Bender\bendedr01,SF,22,MIL,7,91,8.5,0.5820000000000001,0.429,0.14300000000000002,0.0,20.3,10.8,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,0.10800000000000001,,-4.2,2.6,-1.6,0.0
47,40,Dāvis Bertāns\bertada01,PF,27,WAS,44,1291,15.7,0.625,0.754,0.184,2.5,14.9,8.5,8.5,1.2,1.9,7.4,18.3,,2.6,0.3,3.0,0.11,,3.3,-2.0,1.3,1.1
48,41,Patrick Beverley\beverpa01,PG,31,LAC,40,1121,13.1,0.5489999999999999,0.605,0.131,4.8,16.1,10.6,18.8,2.1,2.0,14.9,13.3,,1.3,1.7,3.1,0.131,,1.0,2.9,3.9,1.7
49,42,Khem Birch\birchkh01,C,27,ORL,38,773,10.4,0.537,0.009000000000000001,0.593,9.3,15.8,12.4,6.3,1.0,2.4,13.9,9.3,,0.7,0.9,1.6,0.1,,-3.3,1.9,-1.4,0.1
50,43,Goga Bitadze\bitadgo01,C,20,IND,42,362,12.0,0.53,0.231,0.26899999999999996,6.8,19.8,13.3,7.2,0.4,6.6,14.8,17.3,,0.0,0.5,0.5,0.069,,-4.2,1.9,-2.2,0.0
51,44,Bismack Biyombo\biyombi01,C,27,CHO,45,866,16.4,0.5710000000000001,0.0,0.529,12.9,20.4,16.5,7.2,0.5,3.9,11.9,17.0,,1.4,0.7,2.0,0.114,,-2.2,0.3,-2.0,0.0
52,45,Nemanja Bjelica\bjeline01,PF,31,SAC,54,1535,16.4,0.61,0.47700000000000004,0.11800000000000001,6.4,19.3,12.6,14.6,1.5,2.0,12.7,17.7,,2.8,1.5,4.3,0.135,,1.9,0.9,2.9,1.9
53,46,Eric Bledsoe\bledser01,PG,30,MIL,46,1246,18.7,0.578,0.299,0.295,2.9,13.6,8.6,28.2,1.6,1.5,15.0,24.2,,2.2,2.3,4.6,0.175,,1.1,1.1,2.1,1.3
54,47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,43,1213,13.9,0.5529999999999999,0.584,0.158,1.3,11.6,6.3,17.2,1.6,0.9,12.1,22.9,,0.7,0.8,1.6,0.061,,0.8,-1.6,-0.8,0.4
55,48,Bojan Bogdanović\bogdabo02,SF,30,UTA,53,1763,16.4,0.611,0.493,0.28800000000000003,1.9,11.1,6.7,10.1,0.8,0.3,12.9,25.9,,2.6,1.6,4.2,0.114,,1.9,-1.7,0.2,1.0
56,49,Jonah Bolden\boldejo01,PF,24,TOT,5,40,7.0,0.465,0.222,0.444,8.1,14.0,11.0,0.0,2.4,4.3,15.7,13.6,,0.0,0.1,0.0,0.025,,-6.9,-0.4,-7.3,-0.1
57,49,Jonah Bolden\boldejo01,PF,24,PHI,4,14,-2.0,0.515,0.33299999999999996,0.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.14,,-10.0,-1.1,-11.1,0.0
58,49,Jonah Bolden\boldejo01,PF,24,PHO,1,26,11.8,0.436,0.16699999999999998,0.33299999999999996,12.5,17.3,14.9,0.0,1.8,6.7,0.0,11.2,,0.0,0.0,0.1,0.115,,-5.2,0.0,-5.2,0.0
59,50,Marques Bolden\boldema01,C,21,CLE,1,3,19.8,,,,0.0,74.4,36.8,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,0.278,,-8.6,10.7,2.2,0.0
60,51,Jordan Bone\bonejo01,PG,22,DET,9,48,-4.3,0.17600000000000002,0.47100000000000003,0.0,0.0,2.4,1.2,22.0,1.0,0.0,10.5,17.2,,-0.2,0.0,-0.2,-0.207,,-10.6,-5.6,-16.2,-0.2
61,52,Isaac Bonga\bongais01,SF,20,WAS,48,850,11.5,0.634,0.27399999999999997,0.363,6.3,13.8,9.9,8.0,1.8,1.8,15.3,10.5,,1.2,0.4,1.6,0.08900000000000001,,-0.5,0.1,-0.4,0.4
62,53,Devin Booker\bookede01,SG,23,PHO,52,1866,20.6,0.625,0.302,0.40399999999999997,1.5,11.6,6.4,29.5,1.0,0.6,15.6,29.7,,4.4,1.1,5.5,0.141,,3.8,-1.9,1.8,1.8
63,54,Chris Boucher\bouchch01,PF,27,TOR,47,607,19.9,0.5660000000000001,0.363,0.39899999999999997,14.3,20.4,17.4,4.9,1.3,6.5,7.1,19.9,,1.4,1.2,2.7,0.21,,0.0,1.6,1.7,0.6
64,55,Brian Bowen\bowenbr02,SG,21,IND,3,10,1.0,0.25,0.25,0.0,0.0,11.0,5.5,0.0,0.0,8.8,0.0,17.6,,0.0,0.0,0.0,-0.154,,-12.7,-0.5,-13.3,0.0
65,56,Ky Bowman\bowmaky01,PG,22,GSW,40,875,8.8,0.48200000000000004,0.345,0.127,2.4,10.1,6.1,20.2,2.0,0.6,15.9,16.8,,-0.5,0.4,0.0,-0.001,,-3.4,-1.3,-4.7,-0.6
66,57,Avery Bradley\bradlav01,SG,29,LAL,39,911,9.0,0.545,0.402,0.068,2.1,8.2,5.2,6.6,1.6,0.3,10.8,15.9,,0.2,1.0,1.2,0.063,,-1.7,-0.8,-2.4,-0.1
67,58,Tony Bradley\bradlto01,C,22,UTA,41,420,20.4,0.6559999999999999,0.0,0.276,19.3,25.8,22.7,4.0,1.2,3.2,13.2,16.5,,1.2,0.7,2.0,0.225,,0.5,0.8,1.3,0.4
68,59,Jarrell Brantley\brantja01,PF,23,UTA,3,11,9.4,,,,0.0,47.3,24.8,10.8,0.0,15.2,100.0,4.0,,0.0,0.0,0.0,0.065,,-11.1,13.2,2.0,0.0
69,60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,3.3,0.35100000000000003,0.409,0.22699999999999998,3.8,6.2,5.0,10.7,0.0,1.8,7.6,20.9,,-0.1,0.0,-0.1,-0.10800000000000001,,-6.6,-4.0,-10.6,-0.1
70,61,Mikal Bridges\bridgmi01,SF,23,PHO,55,1413,12.8,0.608,0.365,0.273,3.6,13.5,8.4,8.5,2.7,1.9,12.7,12.6,,1.5,1.7,3.2,0.109,,-0.5,2.1,1.7,1.3
71,62,Miles Bridges\bridgmi02,SF,21,CHO,54,1657,12.5,0.537,0.40299999999999997,0.16899999999999998,4.8,15.3,9.8,9.0,1.0,2.2,11.2,19.5,,0.6,1.0,1.5,0.045,,-1.5,-0.6,-2.1,-0.1
72,63,Oshae Brissett\brissos01,SF,21,TOR,17,128,5.4,0.44,0.441,0.235,7.6,11.3,9.5,5.2,1.5,0.8,15.7,14.9,,-0.1,0.2,0.1,0.019,,-4.8,-0.4,-5.2,-0.1
73,64,Ryan Broekhoff\broekry01,SG,29,DAL,17,180,13.3,0.568,0.8640000000000001,0.136,3.0,21.8,12.5,8.3,1.4,1.9,8.8,16.3,,0.2,0.2,0.4,0.115,,0.2,-0.7,-0.4,0.1
74,65,Malcolm Brogdon\brogdma01,PG,27,IND,41,1262,18.0,0.54,0.305,0.245,2.9,13.9,8.4,35.2,1.0,0.6,14.2,25.6,,1.8,1.2,3.0,0.11199999999999999,,1.9,-0.9,1.0,1.0
75,66,Dillon Brooks\brookdi01,SG,24,MEM,54,1528,12.2,0.524,0.386,0.19399999999999998,3.7,8.8,6.3,10.3,1.6,1.2,9.8,24.5,,0.2,1.1,1.3,0.04,,-0.9,-1.7,-2.7,-0.3
76,67,Bruce Brown\brownbr01,SG,23,DET,54,1507,11.8,0.516,0.21899999999999997,0.28300000000000003,4.0,14.4,9.2,19.8,2.0,1.6,17.2,15.9,,0.6,1.4,2.0,0.063,,-1.9,1.3,-0.6,0.5
77,68,Charlie Brown\brownch02,SG,22,ATL,10,40,11.1,0.47200000000000003,0.474,0.263,5.3,5.4,5.4,7.4,2.3,4.2,12.4,25.2,,0.0,0.0,0.0,-0.027000000000000003,,-4.3,-2.1,-6.4,0.0
78,69,Jaylen Brown\brownja02,SF,23,BOS,44,1480,17.2,0.596,0.361,0.289,3.4,16.9,10.2,10.4,1.6,0.7,12.4,24.6,,1.9,2.1,4.0,0.129,,1.1,-0.5,0.6,1.0
79,70,Moses Brown\brownmo01,C,20,POR,9,33,6.8,0.40700000000000003,0.0,0.8,9.5,33.8,21.8,4.1,1.4,2.5,18.2,21.2,,-0.1,0.0,0.0,-0.06,,-10.1,-1.3,-11.4,-0.1
80,71,Sterling Brown\brownst02,SF,24,MIL,37,556,10.6,0.504,0.508,0.182,4.9,20.1,13.0,8.2,1.7,0.8,13.7,16.8,,-0.1,1.1,1.1,0.091,,-3.1,1.0,-2.1,0.0
81,72,Troy Brown\browntr01,SG,20,WAS,50,1292,14.1,0.537,0.278,0.22899999999999998,4.5,19.7,11.8,12.3,2.4,0.3,9.9,16.9,,1.2,0.8,2.0,0.07400000000000001,,-0.7,-0.3,-0.9,0.3
82,73,Jalen Brunson\brunsja01,PG,23,DAL,55,1002,15.3,0.555,0.312,0.19399999999999998,2.3,11.4,7.0,26.8,1.0,0.3,13.6,20.5,,1.7,0.6,2.2,0.10800000000000001,,0.1,-2.1,-2.0,0.0
83,74,Thomas Bryant\bryanth01,C,22,WAS,29,738,19.6,0.643,0.171,0.292,8.4,23.7,15.8,12.8,0.6,3.0,12.4,18.6,,1.8,0.3,2.2,0.141,,1.2,-0.2,1.0,0.6
84,75,Reggie Bullock\bullore01,SG,28,NYK,21,545,10.0,0.499,0.5,0.075,2.2,8.1,5.0,8.5,2.1,0.0,5.9,17.1,,0.2,0.3,0.5,0.042,,-0.9,-1.7,-2.5,-0.1
85,76,Trey Burke\burketr01,PG,27,PHI,25,329,15.4,0.545,0.299,0.142,5.0,6.6,5.8,24.2,1.0,0.3,8.2,19.3,,0.6,0.3,0.9,0.134,,0.5,-2.7,-2.2,0.0
86,77,Alec Burks\burksal01,SG,28,TOT,49,1404,16.1,0.551,0.374,0.37,2.7,15.0,8.6,17.6,1.7,1.1,9.7,23.7,,1.7,0.9,2.5,0.087,,0.4,-1.4,-1.0,0.4
87,77,Alec Burks\burksal01,SG,28,GSW,48,1390,16.2,0.552,0.373,0.373,2.8,15.2,8.7,17.6,1.7,1.1,9.8,23.8,,1.7,0.9,2.6,0.08900000000000001,,0.5,-1.3,-0.8,0.4
88,77,Alec Burks\burksal01,SG,28,PHI,1,14,0.4,0.25,0.5,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,12.3,,0.0,0.0,0.0,-0.057,,-8.3,-7.4,-15.7,0.0
89,78,Deonte Burton\burtode02,SG,26,OKC,30,254,5.8,0.41200000000000003,0.419,0.129,2.3,14.3,8.5,5.6,0.8,3.0,8.4,18.6,,-0.5,0.3,-0.2,-0.039,,-6.2,-0.9,-7.2,-0.3
90,79,Jimmy Butler\butleji01,SF,30,MIA,46,1582,24.0,0.5870000000000001,0.182,0.6779999999999999,6.3,15.5,11.1,28.1,2.5,1.6,11.5,25.5,,5.3,2.2,7.5,0.228,,3.6,1.7,5.3,2.9
91,80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,192,11.9,0.441,0.36200000000000004,0.043,9.5,14.6,12.1,7.0,2.4,5.3,9.1,16.8,,-0.1,0.3,0.2,0.047,,-3.2,2.2,-1.1,0.0
92,81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,53,1343,12.0,0.601,0.478,0.217,2.9,6.1,4.5,9.0,1.5,0.7,9.7,14.6,,2.0,1.3,3.3,0.11900000000000001,,0.7,-0.6,0.1,0.7
93,82,Vlatko Čančar\cancavl01,SF,22,DEN,11,38,13.0,0.588,0.455,0.364,8.7,14.6,11.6,10.9,1.3,2.4,19.0,18.0,,0.0,0.0,0.1,0.107,,-1.4,-0.4,-1.8,0.0
94,83,Clint Capela\capelca01,C,25,HOU,39,1279,20.7,0.626,0.0,0.268,13.6,30.3,21.9,5.7,1.2,4.8,12.7,16.0,,2.9,2.1,5.0,0.18600000000000003,,-1.0,2.4,1.4,1.1
95,84,DeMarre Carroll\carrode01,SF,33,SAS,15,135,5.0,0.43700000000000006,0.44799999999999995,0.69,5.6,19.0,12.3,10.2,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.036000000000000004,,-5.1,-1.2,-6.2,-0.1
96,85,Jevon Carter\carteje01,PG,24,PHO,40,578,10.6,0.541,0.546,0.105,3.9,10.7,7.3,12.9,2.5,1.6,15.0,13.8,,0.2,0.6,0.8,0.068,,-1.4,0.8,-0.6,0.2
97,86,Vince Carter\cartevi01,SF,43,ATL,49,749,7.8,0.473,0.669,0.11199999999999999,2.0,13.5,7.7,8.3,1.2,2.7,9.9,16.8,,-0.5,0.3,-0.1,-0.009000000000000001,,-3.4,-1.3,-4.7,-0.5
