,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
278,19,Malik Newman\newmama01,22,1,4,.000,22.0,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,.000,0,,.000,,0,0
279,20,Marques Bolden\boldema01,21,1,3,,,,,,,,,,,,,,,,,0,,,,0,0
280,21,J.P. Macura\macurjp01,24,1,1,,,,,,,,,,,,,,,,,0,,,,0,0
281,1,LeBron James\jamesle01,35,53,1850,.490,12.8,.681,.362,.142,.074,.103,.319,.558,.717,.415,.342,.355,.345,.257,.066,66,.482,.058,.421,1,0
282,2,Anthony Davis\davisan02,26,48,1665,.514,10.9,.811,.351,.175,.157,.128,.189,.558,.766,.434,.412,.333,.329,.594,.167,133,1.000,.171,.429,2,0
283,3,Kentavious Caldwell-Pope\caldwke01,26,55,1396,.468,16.2,.520,.233,.078,.098,.113,.480,.524,.645,.516,.359,.422,.406,.734,.033,11,.923,.370,.437,1,0
284,4,Danny Green\greenda02,32,54,1347,.419,19.5,.299,.135,.076,.042,.047,.701,.522,.673,.483,.500,.167,.375,.667,.013,4,.970,.394,.415,0,0
285,5,Kyle Kuzma\kuzmaky01,24,46,1137,.434,15.3,.590,.187,.233,.077,.093,.410,.512,.772,.400,.421,.348,.322,.604,.032,14,.923,.208,.595,2,0
286,6,Dwight Howard\howardw01,34,55,1080,.734,2.6,.979,.793,.177,.000,.008,.021,.737,.824,.357,,.500,.600,.620,.451,102,1.000,.200,.000,0,0
287,7,Avery Bradley\bradlav01,29,41,969,.461,16.2,.594,.197,.090,.081,.226,.406,.522,.639,.500,.480,.443,.373,.771,.003,1,.894,.444,.339,0,0
288,8,Alex Caruso\carusal01,25,52,940,.426,13.8,.579,.323,.132,.085,.038,.421,.478,.724,.161,.150,.222,.354,.569,.051,9,.886,.333,.333,0,0
289,9,JaVale McGee\mcgeeja01,32,53,885,.643,3.7,.976,.698,.226,.048,.004,.024,.646,.750,.368,.500,.000,.500,.730,.405,96,.667,.000,,1,0
290,10,Rajon Rondo\rondora01,33,40,836,.430,13.5,.613,.323,.154,.068,.068,.387,.480,.567,.349,.368,.474,.352,.146,.000,0,.684,.194,.381,0,0
291,11,Troy Daniels\danietr01,28,39,446,.392,21.2,.294,.059,.072,.072,.092,.706,.467,.667,.545,.455,.286,.361,.762,.000,0,.974,.287,.419,0,0
292,12,Quinn Cook\cookqu01,26,34,387,.444,15.6,.625,.206,.125,.094,.200,.375,.480,.636,.350,.667,.313,.383,.333,.000,0,.783,.250,.400,0,0
293,13,Jared Dudley\dudleja01,34,37,300,.417,19.3,.313,.167,.083,.000,.063,.688,.267,.125,.500,,.333,.485,1.000,.000,0,1.000,.273,.556,0,0
294,14,Kostas Antetokounmpo\antetko01,22,3,5,,,,,,,,,,,,,,,,,0,,,,0,0
295,15,Talen Horton-Tucker\hortota01,19,2,5,.000,26.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
296,16,Zach Norvell\norveza01,22,2,5,.000,21.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
297,1,Lou Williams\willilo02,33,53,1593,.413,14.8,.670,.189,.184,.148,.149,.330,.444,.561,.430,.355,.402,.351,.201,.006,3,.621,.225,.328,1,0
298,2,Montrezl Harrell\harremo01,26,55,1561,.576,4.1,.978,.610,.304,.047,.018,.022,.589,.697,.446,.294,.077,.000,.610,.170,119,,.000,,4,0
299,3,Kawhi Leonard\leonaka01,28,43,1400,.462,14.3,.723,.166,.188,.233,.135,.277,.494,.673,.428,.442,.454,.380,.295,.057,44,.677,.045,.636,0,0
300,4,Landry Shamet\shamela01,22,39,1145,.430,20.9,.239,.117,.042,.045,.036,.761,.514,.722,.154,.571,.182,.404,.579,.010,1,.968,.272,.422,0,0
301,5,Maurice Harkless\harklma01,26,50,1141,.516,10.0,.664,.535,.097,.009,.023,.336,.590,.664,.286,.500,.200,.370,.647,.226,40,.963,.603,.432,0,0
302,6,Patrick Beverley\beverpa01,31,40,1121,.430,17.1,.395,.206,.137,.038,.014,.605,.530,.617,.500,.273,.250,.364,.311,.007,1,.969,.313,.400,0,0
303,7,Paul George\georgpa01,29,34,1001,.426,17.8,.505,.147,.116,.109,.133,.495,.458,.679,.379,.339,.382,.394,.341,.014,8,.676,.142,.600,2,0
304,8,Ivica Zubac\zubaciv01,22,56,1000,.596,3.6,.993,.672,.242,.040,.040,.007,.600,.670,.397,.500,.750,.000,.728,.258,74,,.000,,0,0
305,9,JaMychal Green\greenja01,29,47,971,.398,18.2,.324,.216,.089,.008,.012,.676,.488,.625,.217,.000,.333,.354,.561,.039,10,1.000,.211,.378,0,0
306,10,Rodney McGruder\mcgruro01,28,44,709,.381,15.2,.490,.184,.245,.054,.007,.510,.500,.630,.417,.500,.000,.267,.722,.014,2,1.000,.467,.200,0,0
307,11,Patrick Patterson\pattepa01,30,46,578,.399,20.5,.247,.118,.056,.034,.039,.753,.477,.524,.500,.500,.286,.373,.810,.051,7,1.000,.381,.412,1,0
308,12,Jerome Robinson\robinje01,22,42,476,.338,17.4,.507,.140,.125,.118,.125,.493,.391,.632,.176,.500,.235,.284,.407,.022,2,.895,.269,.111,0,0
309,13,Terance Mann\mannte01,23,35,271,.407,9.9,.778,.333,.241,.167,.037,.222,.452,.722,.308,.222,.000,.250,.263,.056,3,1.000,.667,.250,0,0
310,14,Derrick Walton\waltode01,24,23,222,.472,20.1,.417,.083,.000,.167,.167,.583,.533,.667,,.500,.500,.429,.250,.000,0,1.000,.238,.200,0,0
311,15,Marcus Morris\morrima03,30,4,131,.415,17.2,.561,.122,.098,.195,.146,.439,.522,.400,.250,.750,.500,.278,.417,.024,1,.800,.167,.000,0,0
312,16,Amir Coffey\coffeam01,22,7,67,.450,10.6,.750,.400,.150,.200,.000,.250,.533,.500,.333,.750,,.200,.625,.000,0,1.000,.400,.000,0,0
313,17,Mfiondu Kabengele\kabenmf01,22,12,64,.438,18.0,.375,.188,.125,.063,.000,.625,.417,.833,.000,.000,,.450,.800,.125,4,.778,.200,.750,0,0
314,18,Johnathan Motley\motlejo01,24,13,41,.733,3.8,.933,.733,.200,.000,.000,.067,.714,.909,.000,,,1.000,.700,.200,3,1.000,.000,,0,0
315,19,Reggie Jackson\jacksre01,29,1,23,.333,19.8,.333,.000,.333,.000,.000,.667,.333,,.333,,,.333,1.000,.000,0,1.000,.000,,0,0
316,1,Devin Booker\bookede01,23,54,1938,.494,14.0,.694,.236,.130,.211,.118,.306,.553,.747,.452,.473,.417,.360,.445,.017,17,.636,.094,.286,0,0
317,2,Kelly Oubre\oubreke01,24,55,1895,.450,12.8,.626,.333,.162,.084,.047,.374,.509,.583,.386,.426,.553,.352,.564,.098,66,.953,.283,.326,1,0
318,3,Ricky Rubio\rubiori01,29,49,1535,.402,13.8,.697,.253,.132,.134,.178,.303,.431,.530,.290,.486,.355,.335,.306,.000,0,.868,.285,.400,0,0
319,4,Mikal Bridges\bridgmi01,23,57,1466,.503,12.0,.633,.414,.118,.071,.030,.367,.603,.721,.350,.333,.600,.331,.752,.118,34,1.000,.460,.386,1,0
320,5,Dario Šarić\saricda01,25,50,1213,.441,14.7,.524,.295,.134,.033,.063,.476,.558,.658,.358,.538,.520,.312,.664,.013,5,.983,.196,.189,0,0
321,6,Cameron Johnson\johnsca02,23,44,870,.412,19.4,.306,.158,.042,.053,.053,.694,.460,.622,.167,.333,.333,.391,.675,.025,7,.987,.396,.423,1,0
322,7,Deandre Ayton\aytonde01,21,25,831,.543,6.4,.995,.472,.222,.189,.112,.005,.546,.686,.471,.405,.341,.000,.709,.163,55,,.000,,0,0
323,8,Aron Baynes\baynear01,33,35,780,.493,13.0,.576,.342,.178,.036,.020,.424,.611,.663,.611,.364,.167,.333,.748,.089,25,1.000,.132,.176,0,0
324,9,Frank Kaminsky\kaminfr01,26,32,718,.455,13.3,.599,.283,.208,.068,.039,.401,.527,.570,.569,.368,.273,.348,.682,.047,10,1.000,.063,.429,0,0
325,10,Elie Okobo\okoboel01,22,47,621,.396,13.9,.591,.302,.132,.119,.038,.409,.426,.563,.286,.316,.167,.354,.450,.006,1,.783,.154,.400,1,0
326,11,Jevon Carter\carteje01,24,42,600,.410,18.4,.449,.154,.083,.077,.135,.551,.400,.500,.231,.333,.429,.419,.357,.006,1,.889,.267,.348,2,0
327,12,Tyler Johnson\johnsty01,27,31,515,.380,17.6,.515,.164,.105,.105,.140,.485,.466,.571,.389,.500,.375,.289,.610,.000,0,.917,.181,.467,1,0
328,13,Cheick Diallo\diallch01,23,39,421,.664,5.2,.984,.623,.156,.115,.090,.016,.667,.763,.526,.571,.364,.500,.825,.156,17,1.000,.500,1.000,0,0
329,14,Ty Jerome\jeromty01,22,23,268,.355,15.9,.570,.140,.226,.151,.054,.430,.415,.538,.381,.357,.400,.275,.273,.000,0,.909,.225,.333,1,0
330,15,Jonah Bolden\boldejo01,24,3,33,.250,10.0,.625,.625,.000,.000,.000,.375,.400,.400,,,,.000,.000,.250,1,,.333,.000,0,0
331,16,Jalen Lecque\lecquja01,19,4,26,.400,13.4,.600,.400,.000,.100,.100,.400,.667,.750,,1.000,.000,.000,.250,.100,1,,.500,.000,0,0
332,17,Tariq Owens\owensta01,24,3,15,.200,14.6,.600,.200,.200,.000,.200,.400,.333,1.000,.000,,.000,.000,.000,.000,0,,.500,.000,0,0
333,18,Jared Harper\harpeja01,22,3,8,.250,16.3,.500,.000,.500,.000,.000,.500,.500,,.500,,,.000,.000,.000,0,,.000,,0,0
334,1,Harrison Barnes\barneha02,27,56,1947,.456,11.9,.659,.284,.285,.061,.029,.341,.496,.685,.369,.342,.222,.379,.512,.040,23,.864,.374,.350,1,1
335,2,Buddy Hield\hieldbu01,27,56,1847,.430,18.8,.426,.134,.081,.087,.123,.574,.490,.677,.364,.410,.427,.385,.404,.018,16,.700,.174,.463,0,0
336,3,Nemanja Bjelica\bjeline01,31,56,1593,.483,15.3,.519,.258,.197,.032,.032,.481,.516,.601,.448,.353,.412,.447,.531,.026,14,.948,.140,.556,0,0
337,4,Cory Joseph\josepco01,28,56,1376,.411,15.2,.637,.147,.213,.135,.141,.363,.448,.694,.423,.289,.383,.347,.189,.000,0,.905,.264,.406,0,0
338,5,Bogdan Bogdanović\bogdabo01,27,45,1271,.430,18.7,.417,.117,.120,.097,.084,.583,.524,.641,.424,.453,.587,.363,.325,.004,2,.836,.175,.339,0,0
339,6,De'Aaron Fox\foxde01,22,38,1202,.470,10.3,.786,.321,.283,.133,.048,.214,.512,.667,.402,.351,.571,.315,.146,.038,18,.564,.161,.150,1,0
340,7,Richaun Holmes\holmeri01,26,37,1087,.660,4.6,1.000,.576,.269,.129,.026,.000,.660,.758,.494,.650,.250,,.735,.239,70,,,,0,0
341,8,Trevor Ariza\arizatr01,34,32,791,.388,19.4,.261,.188,.042,.012,.018,.739,.488,.677,.000,.000,.000,.352,.571,.036,6,.977,.369,.333,1,0
342,9,Dewayne Dedmon\dedmode01,30,34,541,.404,13.7,.585,.304,.181,.035,.064,.415,.550,.692,.355,.500,.455,.197,.709,.129,19,1.000,.141,.300,0,0
343,10,Yogi Ferrell\ferreyo01,26,42,467,.409,17.3,.598,.140,.049,.213,.195,.402,.490,.522,.125,.514,.531,.288,.250,.000,0,.737,.197,.538,0,0
344,11,Harry Giles\gilesha01,21,30,406,.546,8.3,1.000,.383,.220,.191,.206,.000,.546,.852,.355,.333,.379,,.753,.184,23,,,,0,0
345,12,Marvin Bagley\baglema01,20,13,334,.467,8.2,.868,.431,.293,.060,.084,.132,.510,.681,.306,.200,.571,.182,.635,.174,25,1.000,.045,.000,0,0
346,13,Kent Bazemore\bazemke01,30,13,275,.419,11.8,.657,.390,.162,.048,.057,.343,.435,.610,.176,.400,.000,.389,.600,.048,5,1.000,.528,.263,1,0
347,14,Justin James\jamesju01,23,32,216,.423,14.1,.667,.218,.192,.128,.128,.333,.462,.706,.333,.500,.200,.346,.708,.115,7,.889,.346,.444,1,0
348,15,Anthony Tolliver\tollian01,34,9,82,.176,23.9,.118,.000,.059,.000,.059,.882,.500,,.000,,1.000,.133,1.000,.000,0,1.000,.200,.000,0,0
349,16,Wenyen Gabriel\gabriwe01,22,11,61,.353,13.7,.529,.294,.235,.000,.000,.471,.556,1.000,.000,,,.125,.600,.118,2,1.000,.125,.000,0,0
350,17,Caleb Swanigan\swanica01,22,7,23,.500,6.5,1.000,.500,.250,.000,.250,.000,.500,.500,1.000,,.000,,1.000,.000,0,,,,0,0
351,18,DaQuan Jeffries\jeffrda01,22,6,19,.429,15.3,.429,.286,.143,.000,.000,.571,.667,1.000,.000,,,.250,1.000,.143,1,1.000,.500,.000,0,0
352,19,Eric Mika\mikaer01,25,1,19,.667,5.7,1.000,.667,.000,.333,.000,.000,.667,.500,,1.000,,,1.000,.333,1,,,,0,0
353,20,Alex Len\lenal01,26,1,16,.333,2.3,1.000,.667,.333,.000,.000,.000,.333,.500,.000,,,,.000,.333,1,,,,0,0
354,21,Jabari Parker\parkeja01,24,1,15,.167,9.8,.833,.333,.333,.000,.167,.167,.200,.500,.000,,.000,.000,1.000,.333,1,,.000,,0,0
355,22,Kyle Guy\guyky01,22,2,4,.500,22.5,.500,.000,.000,.000,.500,.500,1.000,,,,1.000,.000,1.000,.000,0,,1.000,.000,0,0
356,1,Glenn Robinson\robingl02,26,48,1516,.481,14.7,.665,.197,.170,.124,.174,.335,.522,.680,.465,.460,.443,.400,.773,.065,28,.912,.371,.429,1,0
357,2,Eric Paschall\pascher01,23,52,1397,.486,10.9,.804,.331,.237,.100,.137,.196,.536,.715,.406,.444,.392,.283,.545,.104,51,.967,.236,.280,2,0
358,3,Alec Burks\burksal01,28,48,1390,.406,15.0,.627,.213,.168,.128,.118,.373,.424,.516,.347,.390,.408,.375,.475,.013,8,.726,.170,.395,1,0
359,4,Draymond Green\greendr01,29,42,1212,.387,15.0,.590,.229,.184,.092,.086,.410,.462,.681,.310,.414,.259,.279,.721,.019,6,1.000,.093,.333,0,0
360,5,Damion Lee\leeda03,27,41,1154,.418,16.3,.570,.155,.167,.140,.109,.430,.466,.688,.391,.431,.311,.354,.745,.010,4,.968,.202,.389,1,0
361,6,Jordan Poole\poolejo01,20,50,1097,.310,19.5,.466,.122,.085,.085,.174,.534,.360,.472,.378,.351,.276,.266,.479,.002,1,.855,.107,.360,2,0
362,7,D'Angelo Russell\russeda01,23,33,1060,.430,19.2,.494,.068,.124,.159,.143,.506,.487,.767,.380,.396,.549,.374,.275,.005,3,.608,.090,.483,1,0
363,8,Marquese Chriss\chrisma01,22,51,977,.535,6.2,.889,.598,.218,.032,.041,.111,.573,.667,.391,.300,.385,.229,.733,.288,78,1.000,.086,.667,1,0
364,9,Willie Cauley-Stein\caulewi01,26,41,940,.560,5.7,1.000,.533,.249,.101,.117,.000,.560,.774,.391,.308,.167,,.764,.288,70,,,,0,0
365,10,Ky Bowman\bowmaky01,22,42,935,.405,14.8,.659,.216,.155,.145,.142,.341,.456,.641,.261,.442,.405,.307,.449,.044,11,.710,.248,.440,1,0
366,11,Omari Spellman\spellom01,22,49,886,.431,14.3,.627,.305,.112,.078,.132,.373,.454,.556,.303,.478,.333,.391,.607,.102,19,1.000,.182,.550,0,0
367,12,Jacob Evans\evansja02,22,27,414,.338,16.1,.714,.120,.105,.195,.293,.286,.337,.375,.214,.385,.333,.342,.625,.008,1,.923,.263,.300,0,0
368,13,Kevon Looney\looneke01,23,17,213,.339,10.1,.823,.355,.258,.081,.129,.177,.392,.636,.188,.400,.125,.091,.550,.048,3,1.000,.455,.200,1,0
369,14,Andrew Wiggins\wiggian01,24,5,162,.493,13.0,.685,.274,.233,.027,.151,.315,.500,.600,.412,.500,.455,.478,.680,.068,5,1.000,.130,.667,0,0
370,15,Alen Smailagić\smailal01,19,14,139,.500,11.4,.675,.325,.250,.075,.025,.325,.630,.846,.500,.000,1.000,.231,.529,.025,1,1.000,.308,.250,0,0
371,16,Stephen Curry\curryst01,31,4,112,.409,18.7,.439,.227,.076,.015,.121,.561,.621,.733,.400,1.000,.500,.243,.333,.000,0,.556,.162,.333,0,0
372,17,Juan Toscano-Anderson\toscaju01,26,5,100,.571,9.9,.679,.429,.250,.000,.000,.321,.579,.750,.286,,,.556,.545,.107,3,1.000,.333,.667,0,0
373,18,Jeremy Pargo\pargoje01,33,3,44,.500,14.0,.682,.273,.136,.136,.136,.318,.533,.833,.000,.667,.333,.429,.000,.000,0,.667,.000,,0,0
374,19,Zach Norvell\norveza01,22,3,36,.273,22.6,.273,.000,.091,.091,.091,.727,.000,,.000,.000,.000,.375,,.000,0,1.000,.125,.000,0,0
375,20,Dragan Bender\bendedr01,22,1,20,.250,17.9,.375,.000,.375,.000,.000,.625,.000,,.000,,,.400,,.000,0,1.000,.400,.500,0,0
376,1,Bam Adebayo\adebaba01,22,56,1927,.578,5.7,.980,.480,.307,.147,.046,.020,.588,.746,.462,.438,.250,.083,.711,.234,130,1.000,.667,.125,1,0
377,2,Duncan Robinson\robindu01,25,56,1639,.457,23.2,.120,.068,.029,.008,.016,.880,.629,.857,.467,.000,.250,.434,.846,.004,2,.954,.240,.459,1,0
378,3,Jimmy Butler\butleji01,30,47,1616,.453,10.5,.822,.323,.261,.139,.098,.178,.498,.662,.443,.371,.286,.246,.382,.073,47,.536,.184,.190,4,0
379,4,Kendrick Nunn\nunnke01,24,53,1590,.444,15.6,.585,.205,.143,.118,.118,.415,.511,.664,.365,.477,.453,.349,.382,.034,21,.762,.246,.351,0,0
380,5,Tyler Herro\herroty01,20,46,1273,.414,18.2,.524,.119,.098,.119,.187,.476,.433,.508,.423,.429,.394,.393,.467,.004,2,.778,.147,.459,2,0
381,6,Goran Dragić\dragigo01,33,45,1270,.449,16.4,.524,.170,.150,.112,.092,.476,.503,.688,.415,.344,.500,.388,.313,.000,0,.644,.162,.405,1,0
382,7,Derrick Jones\jonesde02,22,42,1028,.496,11.8,.606,.462,.121,.011,.011,.394,.638,.705,.438,.333,.333,.279,.775,.261,60,.966,.519,.259,5,0
383,8,Meyers Leonard\leoname01,27,49,987,.520,16.0,.466,.242,.148,.058,.018,.534,.625,.815,.515,.154,.500,.429,.831,.166,29,.941,.160,.368,0,0
384,9,Kelly Olynyk\olynyke01,28,50,972,.459,17.7,.416,.226,.097,.054,.039,.584,.543,.714,.296,.400,.364,.399,.683,.025,7,.954,.172,.357,1,0
385,10,Justise Winslow\winslju01,23,11,352,.388,10.4,.791,.256,.372,.085,.078,.209,.431,.606,.354,.455,.200,.222,.500,.031,3,.833,.296,.125,0,0
386,11,Chris Silva\silvach01,23,38,294,.636,4.0,.970,.682,.197,.061,.030,.030,.656,.756,.385,.500,.500,.000,.667,.273,17,,.500,.000,0,0
387,12,James Johnson\johnsja01,32,18,281,.448,15.0,.483,.310,.161,.011,.000,.517,.548,.741,.143,1.000,,.356,.609,.126,8,.938,.244,.364,1,0
388,13,Jae Crowder\crowdja01,29,5,141,.556,19.0,.311,.200,.044,.022,.044,.689,.571,.556,1.000,1.000,.000,.548,.750,.000,0,.824,.258,.625,0,0
389,14,Andre Iguodala\iguodan01,36,5,105,.474,20.8,.368,.211,.000,.053,.105,.632,.714,.750,,.000,1.000,.333,.600,.053,1,.750,.417,.400,1,0
390,15,Dion Waiters\waitedi01,28,3,42,.385,19.3,.346,.192,.038,.000,.115,.654,.222,.200,.000,,.333,.471,.500,.000,0,.750,.176,.333,0,0
391,16,Gabe Vincent\vincega01,23,4,41,.211,23.2,.158,.000,.053,.105,.000,.842,.000,,.000,.000,,.250,,.000,0,1.000,.125,.000,0,0
392,17,KZ Okpala\okpalkz01,20,5,26,.600,7.6,.800,.400,.400,.000,.000,.200,.750,1.000,.500,,,.000,.333,.400,2,,1.000,.000,0,0
393,18,Solomon Hill\hillso01,28,2,22,.286,16.7,.429,.143,.143,.143,.000,.571,.333,.000,1.000,.000,,.250,.000,.000,0,1.000,.500,.500,0,0
394,19,Udonis Haslem\hasleud01,39,3,21,.167,10.8,.667,.333,.333,.000,.000,.333,.250,.000,.500,,,.000,1.000,.167,0,,.000,,0,0
395,20,Daryl Macon\maconda01,24,4,14,.333,22.3,.333,.000,.000,.000,.333,.667,.000,,,,.000,.500,,.000,0,1.000,.500,1.000,0,0
396,1,Evan Fournier\fournev01,27,55,1746,.463,17.1,.537,.161,.154,.110,.112,.463,.511,.646,.479,.379,.489,.408,.435,.003,1,.812,.140,.549,0,0
397,2,Aaron Gordon\gordoaa01,24,50,1615,.422,14.2,.685,.301,.126,.158,.100,.315,.477,.693,.342,.364,.175,.303,.502,.123,71,.883,.182,.333,6,0
398,3,Markelle Fultz\fultzma01,21,55,1548,.468,11.4,.823,.338,.203,.177,.106,.177,.512,.651,.436,.392,.410,.265,.309,.040,19,.852,.108,.273,3,0
399,4,Nikola Vučević\vucevni01,29,45,1452,.458,13.5,.707,.232,.280,.119,.077,.293,.507,.665,.472,.389,.345,.338,.743,.029,21,.987,.032,.857,0,0
400,5,Terrence Ross\rosste01,28,54,1447,.385,20.6,.413,.081,.072,.102,.158,.587,.473,.750,.348,.400,.436,.323,.584,.027,14,.876,.077,.414,4,0
401,6,D.J. Augustin\augusdj01,32,40,1029,.390,17.2,.579,.177,.177,.131,.095,.421,.426,.569,.241,.535,.355,.341,.160,.000,0,.574,.123,.294,3,0
402,7,Jonathan Isaac\isaacjo01,22,32,949,.463,12.0,.717,.366,.096,.149,.106,.283,.515,.661,.323,.375,.382,.330,.588,.137,36,.933,.253,.391,0,0
403,8,Khem Birch\birchkh01,27,38,773,.496,4.7,.991,.451,.478,.062,.000,.009,.500,.686,.352,.286,,.000,.696,.195,20,,1.000,.000,0,0
404,9,Mo Bamba\bambamo01,21,51,758,.467,13.6,.638,.413,.125,.038,.063,.363,.542,.677,.200,.444,.400,.333,.566,.158,36,1.000,.103,.222,0,0
405,10,Wesley Iwundu\iwundwe01,25,41,749,.382,15.0,.652,.208,.157,.118,.169,.348,.414,.541,.357,.381,.333,.323,.604,.056,8,.700,.339,.333,0,0
406,11,Michael Carter-Williams\cartemi01,28,33,592,.409,10.9,.729,.343,.304,.050,.033,.271,.470,.565,.418,.333,.167,.245,.484,.039,6,1.000,.245,.250,0,0
407,12,Al-Farouq Aminu\aminual01,29,18,380,.291,13.3,.581,.267,.244,.000,.070,.419,.320,.435,.190,,.333,.250,.438,.012,1,.889,.222,.375,0,0
408,13,Gary Clark\clarkga01,25,13,166,.361,21.8,.139,.083,.056,.000,.000,.861,.800,1.000,.500,,,.290,.250,.000,0,1.000,.323,.400,0,0
409,14,Amile Jefferson\jeffeam01,26,18,74,.357,6.1,1.000,.286,.500,.143,.071,.000,.357,.250,.429,.500,.000,,.400,.000,0,,,,0,0
410,15,James Ennis\ennisja01,29,3,51,.333,14.7,.600,.333,.067,.133,.067,.400,.444,.800,.000,.000,.000,.167,.500,.133,2,.000,.000,,0,0
411,16,Melvin Frazier\frazime01,23,14,48,.353,15.6,.588,.118,.176,.176,.118,.412,.200,.500,.000,.333,.000,.571,1.000,.000,0,.500,.429,.667,0,0
412,17,B.J. Johnson\johnsbj01,24,8,46,.278,14.9,.667,.222,.056,.167,.222,.333,.333,.750,.000,.333,.000,.167,.250,.167,3,1.000,.500,.333,0,0
413,18,Josh Magette\magetjo01,30,8,38,.333,15.0,.733,.067,.267,.200,.200,.267,.364,1.000,.500,.333,.000,.250,.000,.000,0,1.000,.000,,0,0
414,19,Vic Law\lawvi01,24,3,4,.000,21.0,.500,.000,.000,.000,.500,.500,.000,,,,.000,.000,,.000,0,,1.000,.000,0,0
415,1,Bradley Beal\bealbr01,26,48,1709,.453,14.5,.640,.246,.142,.135,.117,.360,.528,.687,.404,.458,.424,.320,.361,.030,29,.650,.130,.340,1,0
416,2,Ish Smith\smithis01,31,55,1457,.453,13.3,.736,.235,.174,.155,.172,.264,.487,.646,.394,.488,.366,.357,.196,.000,0,.725,.259,.324,0,0
417,3,Dāvis Bertāns\bertada01,27,46,1354,.435,21.8,.243,.108,.065,.037,.033,.757,.476,.655,.303,.421,.294,.422,.746,.029,14,.914,.078,.500,1,0
418,4,Troy Brown\browntr01,20,52,1333,.462,13.0,.726,.285,.204,.099,.139,.274,.509,.685,.396,.386,.403,.336,.533,.036,14,.976,.246,.500,5,1
419,5,Isaiah Thomas\thomais02,30,40,925,.408,17.7,.556,.066,.157,.185,.148,.444,.405,.536,.299,.392,.476,.413,.385,.000,0,.769,.111,.238,0,0
