,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
420,6,Rui Hachimura\hachiru01,21,32,923,.489,10.3,.843,.367,.173,.170,.133,.157,.536,.710,.323,.453,.440,.237,.688,.096,34,1.000,.271,.313,2,0
421,7,Isaac Bonga\bongais01,20,50,885,.534,9.5,.724,.491,.172,.043,.018,.276,.585,.663,.500,.143,.333,.400,.580,.049,6,1.000,.422,.526,1,0
422,8,Thomas Bryant\bryanth01,22,31,769,.590,9.4,.835,.451,.147,.102,.135,.165,.640,.808,.487,.407,.417,.341,.775,.188,49,.867,.136,.333,0,0
423,9,Ian Mahinmi\mahinia01,33,35,750,.500,6.7,.876,.500,.330,.031,.015,.124,.541,.680,.344,.333,.667,.208,.674,.165,26,1.000,.125,.333,1,0
424,10,Jordan McRae\mcraejo01,28,29,654,.420,15.0,.666,.186,.170,.148,.161,.334,.441,.678,.352,.319,.373,.377,.409,.032,9,.700,.170,.500,1,0
425,11,Moritz Wagner\wagnemo01,22,28,557,.574,10.1,.678,.485,.173,.015,.005,.322,.679,.806,.371,.333,.000,.354,.763,.084,14,1.000,.154,.400,0,0
426,12,Gary Payton\paytoga02,27,24,407,.407,11.2,.620,.444,.139,.028,.009,.380,.478,.625,.067,.000,1.000,.293,.625,.102,10,1.000,.415,.294,0,0
427,13,Anžejs Pasečņiks\pasecan01,24,20,370,.529,5.9,.980,.441,.373,.118,.049,.020,.540,.756,.447,.167,.200,.000,.630,.059,5,,.000,,0,0
428,14,Admiral Schofield\schofad01,22,26,292,.400,17.9,.373,.187,.107,.067,.013,.627,.571,.571,.500,.600,1.000,.298,.688,.040,2,1.000,.277,.462,1,0
429,15,Garrison Mathews\mathega01,23,16,202,.460,24.0,.160,.020,.040,.060,.040,.840,.625,1.000,.500,.333,1.000,.429,.600,.000,0,.944,.238,.500,0,0
430,16,C.J. Miles\milescj01,32,10,161,.322,18.0,.407,.169,.153,.017,.068,.593,.333,.500,.222,.000,.250,.314,.750,.017,1,.909,.200,.286,0,0
431,17,Johnathan Williams\willijo04,24,11,135,.640,8.8,.920,.440,.280,.080,.120,.080,.696,.909,.571,.000,.667,.000,.563,.160,4,,.500,.000,1,0
432,18,Chris Chiozza\chiozch01,24,10,123,.294,16.3,.529,.147,.206,.088,.088,.471,.167,.400,.143,.000,.000,.438,.333,.000,0,1.000,.125,1.000,0,0
433,19,Shabazz Napier\napiesh01,28,6,113,.444,18.5,.389,.222,.083,.056,.028,.611,.500,.875,.000,.000,.000,.409,.429,.000,0,.444,.091,.000,0,0
434,20,Jerome Robinson\robinje01,22,5,85,.357,15.8,.607,.179,.143,.107,.179,.393,.353,.600,.250,.333,.200,.364,.500,.036,0,1.000,.545,.333,0,0
435,21,Justin Robinson\robinju01,22,9,49,.417,20.4,.583,.000,.083,.000,.500,.417,.286,,1.000,,.167,.600,.500,.000,0,1.000,.000,,0,0
436,1,Devonte' Graham\grahade01,24,56,1961,.373,19.5,.387,.133,.106,.072,.076,.613,.380,.527,.247,.328,.359,.368,.290,.004,3,.532,.060,.355,3,0
437,2,Terry Rozier\roziete01,25,55,1879,.419,15.5,.547,.223,.149,.099,.076,.453,.444,.564,.355,.375,.355,.390,.310,.009,6,.811,.199,.411,0,0
438,3,Miles Bridges\bridgmi02,21,56,1725,.438,12.9,.598,.305,.224,.050,.019,.402,.503,.643,.361,.281,.500,.341,.497,.072,41,.955,.353,.407,3,0
439,4,P.J. Washington\washipj01,21,49,1482,.465,11.5,.648,.341,.265,.029,.013,.352,.510,.667,.341,.214,.500,.383,.809,.120,52,.969,.269,.533,0,0
440,5,Cody Zeller\zelleco01,27,52,1200,.518,6.7,.839,.564,.241,.030,.005,.161,.572,.657,.415,.154,1.000,.239,.701,.139,57,.941,.056,.500,0,0
441,6,Malik Monk\monkma01,21,54,1142,.438,14.1,.579,.286,.202,.063,.027,.421,.545,.669,.438,.400,.385,.290,.527,.061,27,.862,.165,.273,5,0
442,7,Bismack Biyombo\biyombi01,27,47,890,.541,3.7,1.000,.614,.301,.073,.012,.000,.541,.682,.338,.278,.000,,.835,.203,47,,,,0,0
443,8,Marvin Williams\willima02,33,41,808,.448,17.1,.443,.129,.224,.062,.029,.557,.538,.852,.489,.231,.167,.376,.640,.014,2,.977,.316,.514,1,0
444,9,Dwayne Bacon\bacondw01,24,39,687,.348,11.6,.725,.320,.238,.107,.061,.275,.373,.449,.345,.231,.333,.284,.470,.012,3,.895,.149,.300,0,0
445,10,Cody Martin\martico01,24,39,633,.420,12.1,.607,.447,.100,.020,.040,.393,.538,.672,.200,.000,.167,.237,.571,.113,13,.929,.305,.222,0,0
446,11,Nicolas Batum\batumni01,31,22,505,.346,18.1,.395,.222,.012,.074,.086,.605,.438,.611,1.000,.333,.000,.286,.214,.037,3,.929,.388,.316,0,0
447,12,Willy Hernangómez\hernawi01,25,24,254,.525,8.5,.802,.436,.277,.059,.030,.198,.593,.682,.500,.500,.333,.250,.604,.099,9,1.000,.150,.333,0,0
448,13,Michael Kidd-Gilchrist\kiddgmi01,26,12,160,.340,13.1,.679,.226,.302,.057,.094,.321,.361,.500,.375,.333,.000,.294,.615,.000,0,1.000,.294,.400,0,0
449,14,Caleb Martin\martica02,24,9,107,.320,10.8,.680,.560,.040,.000,.080,.320,.353,.429,.000,,.000,.250,.500,.160,2,1.000,.125,1.000,0,0
450,15,Jalen McDaniels\mcdanja01,22,7,104,.520,12.6,.600,.320,.200,.040,.040,.400,.533,.500,.600,.000,1.000,.500,.500,.040,1,1.000,.600,.833,0,0
451,16,Joe Chealey\chealjo01,24,1,3,.000,23.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,1.000,.000,0,0
452,1,Trae Young\youngtr01,21,52,1840,.445,16.7,.545,.184,.167,.145,.048,.455,.504,.598,.459,.471,.404,.374,.165,.000,0,.283,.033,.625,1,1
453,2,De'Andre Hunter\huntede01,22,54,1704,.413,15.4,.566,.231,.141,.082,.112,.434,.459,.588,.289,.396,.455,.353,.569,.037,17,.944,.314,.388,1,0
454,3,Kevin Huerter\huertke01,21,47,1443,.411,18.2,.451,.136,.124,.118,.073,.549,.445,.551,.413,.417,.351,.384,.353,.018,8,.860,.158,.523,1,0
455,4,Cam Reddish\reddica01,20,50,1323,.357,15.3,.552,.223,.141,.087,.102,.448,.400,.534,.323,.300,.298,.304,.520,.045,10,.857,.290,.333,0,0
456,5,John Collins\collijo01,22,32,1035,.577,9.4,.764,.457,.191,.075,.041,.236,.640,.775,.461,.314,.579,.373,.741,.212,87,.951,.164,.333,1,0
457,6,DeAndre' Bembry\bembrde01,25,43,915,.456,9.7,.715,.469,.206,.031,.009,.285,.546,.607,.426,.571,.000,.231,.584,.096,19,1.000,.400,.308,1,0
458,7,Damian Jones\jonesda03,24,51,850,.686,3.2,.953,.814,.110,.006,.023,.047,.707,.764,.421,.000,.250,.250,.836,.547,84,1.000,.750,.333,0,0
459,8,Jabari Parker\parkeja01,24,32,837,.504,10.6,.707,.435,.176,.056,.041,.293,.601,.719,.464,.364,.250,.270,.593,.188,69,.968,.322,.324,2,0
460,9,Vince Carter\cartevi01,43,51,763,.351,20.4,.336,.073,.092,.099,.073,.664,.466,.421,.542,.462,.421,.293,.463,.008,2,.863,.195,.353,0,0
461,10,Alex Len\lenal01,26,40,745,.546,7.9,.785,.538,.185,.054,.008,.215,.627,.693,.521,.357,.500,.250,.734,.269,60,1.000,.464,.346,0,0
462,11,Bruno Fernando\fernabr01,21,47,569,.516,7.1,.803,.599,.172,.019,.013,.197,.611,.723,.259,.667,.000,.129,.675,.242,34,1.000,.387,.083,0,0
463,12,Allen Crabbe\crabbal01,27,28,522,.364,20.5,.350,.063,.091,.112,.084,.650,.440,.667,.308,.375,.500,.323,.591,.007,1,1.000,.194,.444,2,0
464,13,Brandon Goodwin\goodwbr01,24,28,367,.383,16.1,.533,.192,.180,.126,.036,.467,.461,.656,.300,.429,.333,.295,.220,.000,0,.609,.205,.125,2,0
465,14,Jeff Teague\teaguje01,31,16,344,.392,10.3,.843,.343,.235,.167,.098,.157,.407,.686,.333,.118,.100,.313,.200,.020,2,.400,.125,1.000,0,0
466,15,Evan Turner\turneev01,31,19,251,.373,10.4,.925,.299,.149,.343,.134,.075,.403,.550,.500,.261,.333,.000,.400,.000,0,,.200,.000,0,0
467,16,Tyrone Wallace\wallaty01,25,14,160,.318,11.9,.659,.432,.136,.068,.023,.341,.448,.579,.167,.333,.000,.067,.615,.023,1,.000,.267,.000,1,0
468,17,Treveon Graham\grahatr01,26,13,140,.313,17.9,.375,.125,.156,.063,.031,.625,.333,.500,.400,.000,.000,.300,.500,.000,0,1.000,.400,.125,0,0
469,18,Dewayne Dedmon\dedmode01,30,5,123,.432,13.2,.568,.405,.027,.108,.027,.432,.571,.733,1.000,.000,.000,.250,.833,.081,3,1.000,.313,.000,0,0
470,19,Chandler Parsons\parsoch01,31,5,54,.278,22.3,.222,.056,.111,.000,.056,.778,.250,.000,.500,,.000,.286,.000,.000,0,1.000,.143,.500,0,0
471,20,Charlie Brown\brownch02,22,10,40,.316,14.3,.526,.263,.211,.053,.000,.474,.300,.200,.500,.000,,.333,1.000,.053,1,1.000,.222,.000,0,0
472,21,Paul Watson\watsopa01,25,2,17,.000,16.3,.571,.000,.429,.000,.143,.429,.000,,.000,,.000,.000,,.000,0,,.333,.000,0,0
473,1,James Harden\hardeja01,30,53,1958,.439,16.6,.446,.232,.188,.020,.005,.554,.538,.658,.396,.480,.500,.359,.140,.014,15,.140,.046,.355,0,0
474,2,P.J. Tucker\tuckepj01,34,56,1952,.440,18.0,.324,.158,.095,.039,.033,.676,.578,.660,.500,.462,.545,.374,.730,.000,0,.988,.753,.409,0,0
475,3,Russell Westbrook\westbru01,31,47,1690,.466,10.4,.825,.405,.136,.128,.156,.175,.513,.639,.359,.397,.416,.246,.242,.039,32,.609,.182,.235,0,0
476,4,Danuel House\houseda01,26,50,1530,.424,17.5,.348,.237,.081,.024,.007,.652,.503,.620,.206,.400,.333,.382,.716,.064,19,.952,.425,.368,2,0
477,5,Ben McLemore\mclembe01,26,56,1309,.444,21.5,.168,.138,.028,.002,.000,.832,.699,.800,.167,1.000,,.392,.863,.044,17,.958,.293,.434,1,0
478,6,Clint Capela\capelca01,25,39,1279,.629,2.3,1.000,.760,.232,.008,.000,.000,.629,.722,.333,.333,,,.803,.327,123,,,,0,0
479,7,Austin Rivers\riverau01,27,52,1222,.414,15.6,.459,.266,.156,.032,.005,.541,.500,.584,.424,.167,.500,.341,.310,.003,1,.743,.220,.400,0,0
480,8,Eric Gordon\gordoer01,31,29,847,.377,18.9,.343,.200,.109,.023,.010,.657,.462,.545,.381,.333,.000,.332,.525,.013,5,.774,.083,.238,2,0
481,9,Thabo Sefolosha\sefolth01,35,39,417,.416,16.8,.404,.258,.067,.034,.045,.596,.611,.826,.167,.333,.250,.283,.591,.000,0,1.000,.453,.417,0,0
482,10,Isaiah Hartenstein\harteis01,21,23,266,.657,4.2,.925,.716,.179,.030,.000,.075,.710,.792,.417,.500,,.000,.818,.179,12,,.200,.000,0,0
483,11,Chris Clemons\clemoch01,22,28,246,.403,21.3,.250,.194,.008,.024,.024,.750,.548,.583,1.000,.333,.333,.355,.294,.024,3,.545,.022,.500,0,0
484,12,Tyson Chandler\chandty01,37,26,219,.778,1.4,1.000,1.000,.000,.000,.000,.000,.778,.778,,,,,.857,.611,11,,,,0,0
485,13,Gary Clark\clarkga01,25,18,212,.390,22.2,.136,.102,.017,.017,.000,.864,.625,.833,.000,.000,,.353,.800,.034,2,1.000,.314,.438,0,0
486,14,Robert Covington\covinro01,29,6,191,.391,21.2,.217,.159,.043,.000,.014,.783,.600,.727,.000,,1.000,.333,.778,.029,2,1.000,.241,.462,1,0
487,15,Michael Frazier\frazimi01,25,8,66,.364,18.6,.273,.182,.091,.000,.000,.727,.667,1.000,.000,,,.250,1.000,.091,1,1.000,.250,.500,0,0
488,16,Jeff Green\greenje02,33,2,38,.778,18.2,.333,.333,.000,.000,.000,.667,1.000,1.000,,,,.667,1.000,.222,2,1.000,.167,1.000,0,0
489,17,Ryan Anderson\anderry01,31,2,14,.286,21.4,.286,.143,.000,.143,.000,.714,.500,.000,,1.000,,.200,.000,.000,0,1.000,.000,,0,0
490,18,William Howard\howarwi01,26,2,13,.000,25.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.250,.000,0,0
491,19,DeMarre Carroll\carrode01,33,1,13,,,,,,,,,,,,,,,,,0,,,,0,0
492,20,Bruno Caboclo\cabocbr01,24,1,5,.000,28.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
493,1,Dorian Finney-Smith\finnedo01,26,57,1701,.456,15.6,.415,.328,.063,.005,.019,.585,.573,.644,.308,.500,.250,.373,.561,.129,45,.967,.498,.433,0,0
494,2,Tim Hardaway\hardati02,27,54,1492,.437,18.8,.423,.119,.108,.093,.103,.577,.478,.610,.386,.467,.433,.406,.504,.019,11,.849,.230,.488,2,0
495,3,Luka Dončić\doncilu01,20,45,1477,.466,14.9,.557,.260,.225,.057,.015,.443,.576,.762,.425,.365,.429,.327,.169,.013,12,.233,.020,.375,8,0
496,4,Maxi Kleber\klebima01,28,56,1400,.467,16.4,.392,.292,.056,.031,.013,.608,.601,.667,.455,.333,.400,.380,.837,.115,41,1.000,.354,.405,0,0
497,5,Kristaps Porziņģis\porzikr01,24,43,1317,.418,16.5,.563,.186,.130,.171,.076,.437,.469,.746,.259,.366,.380,.353,.676,.095,59,.960,.031,.556,2,0
498,6,Seth Curry\curryse01,29,53,1269,.476,18.8,.437,.091,.141,.096,.109,.563,.537,.714,.446,.545,.500,.429,.426,.000,0,.793,.166,.395,1,0
499,7,Delon Wright\wrighde01,27,55,1169,.472,10.8,.704,.373,.272,.034,.025,.296,.513,.645,.364,.455,.250,.375,.282,.019,5,.806,.156,.533,2,0
500,8,Dwight Powell\poweldw01,28,40,1061,.638,6.1,.830,.677,.135,.013,.004,.170,.716,.813,.323,.000,.000,.256,.809,.279,57,1.000,.308,.333,0,0
501,9,Jalen Brunson\brunsja01,23,57,1022,.466,13.6,.691,.178,.258,.139,.116,.309,.515,.623,.500,.500,.400,.358,.239,.000,0,.814,.233,.357,0,0
502,10,Justin Jackson\jacksju01,24,51,820,.397,15.5,.518,.195,.199,.106,.018,.482,.486,.545,.500,.367,.400,.301,.817,.004,1,.927,.221,.233,0,0
503,11,J.J. Barea\bareajo01,35,18,282,.446,14.3,.612,.281,.144,.122,.065,.388,.459,.590,.350,.294,.444,.426,.103,.000,0,.391,.130,.571,1,0
504,12,Boban Marjanović\marjabo01,31,29,258,.545,7.7,.927,.423,.309,.130,.065,.073,.561,.808,.421,.250,.250,.333,.484,.098,11,1.000,.111,1.000,0,0
505,13,Ryan Broekhoff\broekry01,29,17,180,.373,22.5,.136,.068,.034,.034,.000,.864,.250,.250,.500,.000,,.392,.500,.000,0,.950,.294,.400,0,0
506,14,Courtney Lee\leeco01,34,15,163,.512,19.8,.349,.093,.093,.023,.140,.651,.600,1.000,.750,.000,.333,.464,.556,.000,0,.846,.321,.444,0,0
507,15,Willie Cauley-Stein\caulewi01,26,9,111,.676,4.1,.971,.706,.176,.059,.029,.029,.697,.875,.167,.000,1.000,.000,.913,.382,12,,.000,,0,0
508,16,Antonius Cleveland\clevean01,25,6,22,.333,11.0,.833,.333,.167,.167,.167,.167,.400,.500,1.000,.000,.000,.000,.000,.000,0,,.000,,0,0
509,17,Michael Kidd-Gilchrist\kiddgmi01,26,2,9,.000,7.0,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,.000,0,,,,0,0
510,18,Josh Reaves\reavejo02,22,2,1,.000,13.0,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,.000,0,,,,0,0
511,1,Dillon Brooks\brookdi01,24,56,1585,.407,15.4,.615,.189,.146,.172,.109,.385,.426,.500,.354,.436,.381,.376,.537,.013,8,.884,.114,.353,1,0
512,2,Jaren Jackson\jacksja02,20,54,1512,.468,14.8,.515,.244,.228,.033,.010,.485,.535,.696,.394,.391,.286,.397,.653,.080,52,.919,.179,.393,1,0
513,3,Ja Morant\moranja01,20,50,1495,.492,8.7,.842,.440,.229,.127,.046,.158,.518,.604,.400,.488,.355,.355,.285,.068,35,.474,.103,.455,3,0
514,4,Jonas Valančiūnas\valanjo01,27,53,1371,.582,7.3,.872,.415,.365,.068,.025,.128,.612,.738,.537,.316,.429,.375,.570,.082,44,1.000,.125,.333,1,0
515,5,Jae Crowder\crowdja01,29,45,1322,.368,18.9,.333,.203,.050,.023,.058,.667,.519,.642,.300,.111,.435,.293,.594,.005,2,.821,.184,.306,0,0
516,6,Brandon Clarke\clarkbr01,23,49,1083,.623,7.4,.873,.480,.208,.159,.025,.127,.654,.781,.494,.523,.400,.404,.820,.164,66,1.000,.385,.350,0,0
517,7,Tyus Jones\jonesty01,23,56,1054,.474,13.1,.739,.181,.250,.201,.106,.261,.502,.683,.437,.443,.459,.396,.403,.000,0,.806,.198,.500,0,0
518,8,Kyle Anderson\anderky01,26,50,913,.504,10.7,.799,.317,.237,.129,.116,.201,.575,.648,.604,.448,.462,.222,.534,.040,9,1.000,.644,.172,1,0
519,9,Solomon Hill\hillso01,28,48,901,.412,18.4,.369,.146,.133,.034,.056,.631,.465,.500,.419,.375,.538,.381,.625,.021,4,.929,.252,.459,0,0
520,10,De'Anthony Melton\meltode01,21,43,802,.432,12.8,.707,.310,.199,.056,.143,.293,.488,.652,.404,.313,.317,.298,.515,.059,15,.840,.143,.417,1,0
521,11,Grayson Allen\allengr01,24,30,498,.449,15.7,.483,.188,.199,.091,.006,.517,.541,.758,.400,.438,.000,.363,.587,.063,10,.970,.275,.480,0,0
522,12,Marko Guduric\gudurma01,24,35,444,.383,15.8,.489,.255,.121,.028,.085,.511,.478,.583,.412,.000,.417,.292,.606,.007,1,1.000,.250,.278,0,0
523,13,Bruno Caboclo\cabocbr01,24,22,192,.406,11.5,.638,.435,.145,.000,.058,.362,.545,.633,.300,,.500,.160,.708,.130,7,1.000,.440,.273,0,0
524,14,Josh Jackson\jacksjo02,22,9,164,.458,12.8,.593,.322,.220,.017,.034,.407,.600,.842,.308,.000,.500,.250,.571,.051,3,1.000,.292,.571,0,0
525,15,Yuta Watanabe\watanyu01,25,9,49,.429,11.4,.714,.357,.214,.000,.143,.286,.400,.400,.333,,.500,.500,.500,.071,1,1.000,.500,.500,0,0
526,16,Gorgui Dieng\dienggo01,30,3,47,.643,12.1,.643,.286,.214,.071,.071,.357,.778,1.000,.667,.000,1.000,.400,.857,.286,4,1.000,.800,.500,0,0
527,17,John Konchar\konchjo01,23,6,34,.600,10.4,.600,.600,.000,.000,.000,.400,1.000,1.000,,,,.000,1.000,.000,0,,.500,.000,0,0
528,1,DeMar DeRozan\derozde01,30,54,1842,.530,9.8,.966,.257,.258,.263,.188,.034,.538,.730,.502,.458,.438,.276,.281,.032,27,.875,.310,.444,0,0
529,2,LaMarcus Aldridge\aldrila01,34,52,1717,.495,13.7,.801,.203,.129,.226,.244,.199,.520,.712,.475,.460,.441,.392,.558,.042,29,.950,.183,.393,1,0
530,3,Bryn Forbes\forbebr01,26,56,1413,.411,21.0,.347,.067,.077,.050,.154,.653,.464,.657,.400,.423,.425,.382,.702,.000,0,.923,.094,.438,1,0
531,4,Dejounte Murray\murrade01,23,52,1284,.483,10.9,.836,.314,.186,.186,.151,.164,.501,.618,.329,.518,.449,.387,.318,.035,14,.966,.373,.393,0,0
532,5,Derrick White\whitede01,25,54,1284,.455,13.5,.661,.258,.209,.113,.081,.339,.502,.571,.529,.391,.364,.362,.378,.017,6,.760,.138,.421,3,0
533,6,Patty Mills\millspa02,31,56,1281,.427,20.4,.328,.118,.042,.037,.131,.672,.512,.656,.500,.368,.426,.385,.494,.000,0,.791,.204,.451,3,0
534,7,Rudy Gay\gayru01,33,53,1105,.436,15.2,.629,.181,.143,.198,.107,.371,.508,.724,.350,.446,.467,.314,.507,.052,18,.837,.282,.273,1,0
535,8,Trey Lyles\lylestr01,24,56,1040,.440,15.4,.507,.272,.097,.078,.060,.493,.515,.658,.231,.524,.313,.364,.771,.067,16,1.000,.280,.432,0,0
536,9,Jakob Pöltl\poeltja01,24,56,951,.619,3.5,1.000,.647,.265,.088,.000,.000,.619,.683,.474,.579,,,.737,.112,22,,,,0,0
537,10,Marco Belinelli\belinma01,33,48,725,.376,20.4,.440,.088,.044,.052,.256,.560,.409,.591,.182,.385,.391,.350,.933,.000,0,.898,.214,.300,0,0
538,11,Lonnie Walker\walkelo01,21,48,670,.432,12.1,.739,.320,.203,.079,.137,.261,.449,.610,.286,.316,.394,.381,.563,.054,11,.958,.254,.438,1,0
539,12,DeMarre Carroll\carrode01,33,15,135,.310,14.6,.552,.207,.276,.069,.000,.448,.375,.333,.250,1.000,,.231,.833,.000,0,1.000,.154,.500,0,0
540,13,Chimezie Metu\metuch01,22,16,73,.571,9.1,.971,.371,.257,.114,.229,.029,.588,.769,.444,.500,.500,.000,.700,.200,6,,.000,,0,0
541,14,Drew Eubanks\eubandr01,22,8,42,.667,4.4,1.000,.400,.600,.000,.000,.000,.667,.500,.778,,,,.800,.200,3,,,,0,0
542,15,Keldon Johnson\johnske04,20,5,25,.400,7.4,.933,.333,.400,.200,.000,.067,.429,.600,.500,.000,,.000,.833,.067,1,,1.000,.000,0,0
543,16,Quinndary Weatherspoon\weathqu01,23,1,4,.000,23.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
544,1,Jrue Holiday\holidjr01,29,48,1663,.445,12.0,.660,.341,.219,.057,.043,.340,.491,.613,.363,.426,.257,.356,.298,.023,16,.515,.126,.400,2,0
545,2,Brandon Ingram\ingrabr01,22,49,1662,.471,14.0,.649,.246,.147,.165,.092,.351,.508,.684,.375,.438,.375,.402,.285,.060,45,.902,.258,.443,2,0
546,3,Lonzo Ball\balllo01,22,49,1570,.400,17.9,.424,.209,.081,.052,.083,.576,.445,.619,.250,.286,.311,.367,.431,.026,13,.798,.228,.338,2,0
547,4,Josh Hart\hartjo01,24,50,1406,.425,18.4,.322,.206,.065,.035,.016,.678,.565,.682,.500,.200,.143,.359,.449,.009,4,.981,.283,.427,0,0
548,5,J.J. Redick\redicjj01,35,52,1401,.450,21.0,.382,.072,.052,.059,.199,.618,.446,.575,.241,.364,.477,.452,.811,.000,0,.929,.151,.500,0,0
549,6,Jaxson Hayes\hayesja02,19,54,937,.662,2.9,.983,.835,.121,.026,.000,.017,.670,.741,.250,.333,,.250,.822,.424,88,1.000,.250,1.000,3,0
550,7,Derrick Favors\favorde01,28,38,909,.622,4.1,.977,.683,.193,.062,.039,.023,.632,.734,.460,.250,.300,.167,.731,.170,40,1.000,.667,.250,0,0
551,8,E'Twaun Moore\mooreet01,30,44,861,.426,14.7,.605,.161,.247,.121,.076,.395,.461,.689,.457,.239,.345,.373,.425,.013,4,.946,.327,.347,0,0
552,9,Kenrich Williams\willike04,25,35,779,.343,18.1,.329,.245,.049,.014,.021,.671,.511,.543,.429,.500,.333,.260,.667,.035,4,.960,.438,.357,2,0
553,10,Nicolò Melli\mellini01,29,45,722,.464,19.6,.348,.138,.089,.076,.045,.652,.590,.742,.450,.471,.600,.397,.609,.049,10,1.000,.226,.424,2,0
554,11,Frank Jackson\jacksfr01,21,45,583,.404,15.7,.533,.196,.164,.116,.058,.467,.483,.591,.378,.500,.385,.314,.500,.009,2,.909,.390,.415,2,0
555,12,Nickeil Alexander-Walker\alexani01,21,41,501,.339,16.3,.485,.229,.172,.057,.026,.515,.336,.462,.205,.231,.333,.342,.135,.004,1,.900,.188,.364,4,0
556,13,Jahlil Okafor\okafoja01,24,27,420,.611,3.8,.986,.576,.361,.042,.000,.014,.613,.747,.423,.333,,.500,.552,.132,16,1.000,.000,,0,0
557,14,Zion Williamson\willizi01,19,12,337,.586,4.1,.934,.746,.155,.017,.017,.066,.598,.689,.250,.333,.000,.417,.743,.171,28,1.000,.000,,0,0
558,15,Zylan Cheatham\cheatzy01,24,3,31,.400,9.0,.800,.400,.200,.200,.000,.200,.500,1.000,.000,.000,,.000,1.000,.000,0,,.000,,0,0
559,16,Josh Gray\grayjo01,26,2,23,.500,1.5,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,,.000,.000,0,,,,0,0
